pair,range_expansion,extreme_upper,extreme_lower,consecutive_bars,bars,exhaustions,signals,n_long,n_short,signal_rate,win_rate,mean_return,sharpe,ic,ic_pval,reduction_ratio
USDJPY,0.8,0.65,0.35,2,2049,493,295,140,155,14.397266959492436,54.57627118644067,0.00012920779848152978,10.769519402004033,0.1304141110617583,0.025090864514392845,0.5983772819472617
USDJPY,0.8,0.65,0.35,3,2049,243,149,66,83,7.271839921913129,51.006711409395976,5.659635332229621e-05,4.7682398893818885,0.09235296565323764,0.2626228035693655,0.6131687242798354
USDJPY,0.8,0.65,0.35,4,2049,123,79,35,44,3.8555392874572965,48.10126582278481,-1.37507185267003e-05,-1.3690353769609875,0.07934123558486497,0.48701966737370916,0.6422764227642277
USDJPY,0.8,0.65,0.3,2,2049,466,272,117,155,13.274768179599805,54.41176470588235,0.00014340371898674867,11.7107890317615,0.15665973193406138,0.00965917746062975,0.5836909871244635
USDJPY,0.8,0.65,0.3,3,2049,228,136,53,83,6.637384089799903,50.73529411764706,7.729228764169972e-05,6.3889928288095685,0.1403700237793411,0.10311152826981929,0.5964912280701754
USDJPY,0.8,0.65,0.3,4,2049,113,69,25,44,3.3674963396778916,46.3768115942029,-1.6656743336816174e-05,-1.5766138010743003,0.14684748241061013,0.22856540717226664,0.6106194690265486
USDJPY,0.8,0.65,0.25,2,2049,443,250,95,155,12.201073694485116,54.800000000000004,0.00016097964326859326,13.101929963862794,0.17819285797537568,0.004713195673269353,0.5643340857787811
USDJPY,0.8,0.65,0.25,3,2049,220,128,45,83,6.246949731576379,50.78125,0.00010850301007670621,9.343722772204726,0.1755870236670972,0.04742520033131926,0.5818181818181818
USDJPY,0.8,0.65,0.25,4,2049,109,65,21,44,3.17227916056613,46.15384615384615,1.4817716583769548e-05,1.4503433476250038,0.20515555922276446,0.1011272340678293,0.5963302752293578
USDJPY,0.8,0.65,0.2,2,2049,405,226,71,155,11.029770619814544,53.53982300884957,0.0001445208320470851,11.642904960465989,0.1707340889723133,0.010129662984389925,0.5580246913580247
USDJPY,0.8,0.65,0.2,3,2049,205,120,37,83,5.856515373352855,50.0,8.904948077360179e-05,7.7200406001678505,0.17946283712711747,0.04984477703024958,0.5853658536585366
USDJPY,0.8,0.65,0.2,4,2049,101,62,18,44,3.0258662762323087,46.774193548387096,5.87369691635649e-07,0.06054053598082568,0.25813188959147293,0.04280179012702413,0.6138613861386139
USDJPY,0.8,0.65,0.15,2,2049,379,212,57,155,10.346510492923377,52.358490566037744,0.00013566894842095413,10.898412379638069,0.15932683270215367,0.020288783777753474,0.5593667546174143
USDJPY,0.8,0.65,0.15,3,2049,195,113,30,83,5.514885309907272,48.67256637168141,9.127093235221237e-05,7.990203915193999,0.1941411054212512,0.03935558302619688,0.5794871794871795
USDJPY,0.8,0.65,0.15,4,2049,96,58,14,44,2.8306490971205465,44.827586206896555,-1.391435552863711e-05,-1.520355883671202,0.2647501398258729,0.04460304714197828,0.6041666666666666
USDJPY,0.8,0.7,0.35,2,2049,470,279,140,139,13.616398243045388,55.19713261648745,0.00015315624624917195,12.72892130514648,0.14596935852023304,0.014674773573657904,0.5936170212765958
USDJPY,0.8,0.7,0.35,3,2049,234,143,66,77,6.979014153245486,52.44755244755245,8.111754237899799e-05,6.809804297501907,0.11383953864854635,0.17580645576510287,0.6111111111111112
USDJPY,0.8,0.7,0.35,4,2049,118,76,35,41,3.709126403123475,50.0,1.814558343930137e-06,0.17863459557499936,0.08964950986106539,0.44121319898220057,0.6440677966101694
USDJPY,0.8,0.7,0.3,2,2049,443,256,117,139,12.493899463152758,55.078125,0.00017039103014009115,13.862003608515604,0.1727991017962492,0.005568925740674221,0.5778781038374717
USDJPY,0.8,0.7,0.3,3,2049,219,130,53,77,6.34455832113226,52.307692307692314,0.00010522079257265952,8.663415007934356,0.1612229687557774,0.06688025970945131,0.593607305936073
USDJPY,0.8,0.7,0.3,4,2049,108,66,25,41,3.22108345534407,48.484848484848484,1.1348167804196714e-06,0.10592500309027414,0.15494264022726076,0.21415276887202409,0.6111111111111112
USDJPY,0.8,0.7,0.25,2,2049,420,234,95,139,11.420204978038068,55.55555555555556,0.00019170599559237611,15.545238986417111,0.19549620446438537,0.0026686075241459757,0.5571428571428572
USDJPY,0.8,0.7,0.25,3,2049,211,122,45,77,5.954123962908736,52.459016393442624,0.00013979784594256534,12.024431213384746,0.19705458352951205,0.029591873401527333,0.5781990521327014
USDJPY,0.8,0.7,0.25,4,2049,104,62,21,41,3.0258662762323087,48.38709677419355,3.528007702730701e-05,3.407944550706683,0.2142455675721602,0.09450113310668815,0.5961538461538461
USDJPY,0.8,0.7,0.2,2,2049,382,210,71,139,10.248901903367496,54.285714285714285,0.00017750476282909014,14.223610927495443,0.18871623284848202,0.00608571870726606,0.5497382198952879
USDJPY,0.8,0.7,0.2,3,2049,196,114,37,77,5.563689604685212,51.75438596491229,0.0001215165755088315,10.516574749685565,0.20182426310899812,0.03129070590082135,0.5816326530612245
USDJPY,0.8,0.7,0.2,4,2049,96,59,18,41,2.8794533918984873,49.152542372881356,2.1366612180159736e-05,2.1735268241918853,0.2680407663927507,0.04011787148666301,0.6145833333333334
USDJPY,0.8,0.7,0.15,2,2049,356,196,57,139,9.56564177647633,53.06122448979592,0.00017028627151382638,13.593876987003737,0.1772163445595257,0.012960269780843406,0.550561797752809
USDJPY,0.8,0.7,0.15,3,2049,186,107,30,77,5.222059541239629,50.467289719626166,0.00012598661000910816,11.01646062564479,0.2169085933849619,0.024822398915420218,0.5752688172043011
USDJPY,0.8,0.7,0.15,4,2049,91,55,14,41,2.6842362127867254,47.27272727272727,7.5851014015829415e-06,0.8180063231098447,0.27608379509846337,0.04131984743870225,0.6043956043956044
USDJPY,0.8,0.75,0.35,2,2049,431,257,140,117,12.542703757930699,54.474708171206224,0.0001522926830934906,12.354533132440901,0.12195861249608855,0.050830205744334216,0.5962877030162413
